Dimension_1	Dimension_2
85.56513	31.916945
-31.535183	72.41953
-15.759355	-38.314316
60.514095	76.80197
-55.52126	55.750713
66.84831	-5.910665
-49.023537	87.88658
29.7248	-83.15275
15.746512	-58.990578
46.861477	-36.111526
0.43576628	101.58711
75.97427	56.3233
-63.636826	-5.183367
-57.92167	7.9596267
55.972702	21.618042
44.868797	-0.33419016
-53.803215	40.58146
-46.891796	-8.235345
32.705982	-47.07736
-25.640633	-46.456726
16.864246	56.413307
57.85918	54.01505
-88.753174	47.878128
66.53076	-33.049427
-71.30603	-50.67513
45.76602	-74.74034
53.942326	31.935215
71.835526	-35.22691
70.712456	-35.21903
-5.868593	110.76633
67.67421	37.086536
-11.12559	-51.142212
34.151764	52.825478
-12.139548	8.846048
-32.462883	-10.597517
26.573019	8.493725
-28.902004	-80.88574
51.538067	-8.827499
46.45436	13.497132
-53.16499	7.0731025
-3.1173818	46.16826
41.185684	37.396175
33.40178	43.833794
71.288475	18.553427
40.60152	-64.702614
-11.069986	-1.1778916
57.967495	-33.01408
-30.73228	-52.649033
27.94763	-16.277199
4.287391	-47.947815
11.2351265	41.326725
72.516884	-21.654852
22.76472	-17.663336
-90.57031	-48.57922
17.494457	-70.319275
-41.741886	9.417768
40.66854	-7.1043158
54.816883	-0.64550525
-10.476143	91.38083
-53.43069	72.0075
-26.791624	51.797153
98.12697	54.603134
41.141277	43.471653
17.920216	-36.776608
-12.57044	64.031166
-13.759975	30.669989
42.886772	18.304493
-14.156994	-21.18443
67.035126	-27.521765
41.70138	-36.03982
-74.57787	47.599373
62.846977	-44.960606
45.033936	-8.417482
-3.8140435	-11.09122
-4.180162	5.5235963
27.276487	-111.10508
10.770134	-114.72292
88.375435	-40.31087
22.982246	70.62329
-67.463295	49.358624
-37.870712	37.558426
68.497986	-1.0348604
-48.399273	0.5541138
13.445465	-37.53829
8.834232	75.35669
51.48805	-43.8777
-100.707146	38.472385
-18.484661	52.670925
67.94795	0.8600845
0.26246437	-45.60475
79.618774	64.23442
95.967735	-61.512604
-61.559177	39.944134
-40.984783	104.45884
-17.789486	18.826551
5.3958483	21.344717
-69.365974	90.97804
32.78788	-28.69954
49.322533	78.05894
102.66364	45.364487
-65.008896	46.276573
36.92985	-42.223305
-25.840952	92.67698
-69.753525	81.872505
32.181126	68.17199
-42.181454	97.12336
-27.723595	-86.74676
-30.653423	47.99832
-2.1914487	-105.167015
-49.922207	-36.01775
-69.042656	34.165504
-28.041807	-12.452228
-57.837315	12.992356
-43.621437	64.12929
44.09339	27.410652
-13.00446	65.94993
27.25151	33.0263
-56.678917	-70.23748
103.67008	-11.048066
9.417658	-76.03459
12.359094	88.038765
-18.875452	110.17282
-62.647533	92.80926
6.7131586	-32.993546
15.2022295	-63.95102
-14.473737	103.36351
53.863617	32.816204
-62.944233	54.275463
-59.4864	-92.30996
-2.4477017	-95.30816
-16.715405	56.462646
-26.353062	14.397157
-90.0695	-20.005245
-69.43934	-26.052364
-25.905542	-60.60574
-28.949188	110.67235
-29.814814	17.433847
-87.12342	15.33868
69.81649	33.59166
-4.063465	2.0301895
-12.246038	-12.996118
72.994446	-57.83358
35.38359	-2.060326
15.483597	33.635044
34.688206	-4.6947823
-8.878226	9.540733
-44.656506	-81.252914
43.831524	-73.66591
38.308754	18.62997
-0.31553954	-100.008064
-62.509262	92.93228
-40.30502	60.006622
3.9309437	2.3441794
-4.7910595	28.123962
101.46073	-24.079037
83.88793	44.444996
43.03745	-19.508657
-38.938473	47.86412
12.01201	-60.846542
-7.8157473	90.43735
5.044633	46.86767
-62.54014	-81.395485
-114.05604	-0.5166346
61.82892	13.622952
58.44808	-39.342693
-55.51616	-35.869812
-14.474148	66.95797
30.772305	14.338147
53.433292	18.25969
77.32209	-17.927868
-15.138049	-34.990585
-65.557945	-40.079247
103.71021	0.53098774
30.861444	-28.426214
-24.756292	38.46349
-18.237726	52.536095
30.13192	81.26653
74.664	28.463318
-87.41151	-25.288979
-11.520567	54.63224
33.37684	71.61149
-0.5543296	112.85771
95.25442	24.046055
-38.189083	28.020004
41.34695	-82.85702
-44.457138	93.281075
17.512571	-76.47158
-59.030197	-92.191444
-67.42472	39.089222
48.77792	-53.53454
-27.185673	27.080854
34.444767	-86.86562
-93.81981	-11.613951
33.41802	63.169704
-70.6035	27.19325
2.8192458	-82.02531
-62.64736	20.31037
104.96003	6.2798862
66.593445	4.9165516
27.4691	-64.625984
53.65217	18.567144
68.4882	-5.883838
31.42232	-13.512239
88.885216	29.2309
53.720814	-12.561434
-86.14881	-9.493396
-10.562358	16.560812
-71.24943	-16.923391
16.938946	75.7991
92.096344	-15.786407
-36.5562	-27.873066
113.00686	1.8895295
-24.95263	-11.362172
-64.455574	-41.891933
14.314344	17.000216
-21.989004	-33.11646
-13.343849	-76.22776
92.616196	3.4252603
51.107216	6.0551424
103.521416	-45.880512
-18.307362	16.44016
27.736208	21.019844
-64.134766	-40.435326
-38.797585	23.686193
-4.4132185	53.119015
-65.591606	-63.97066
68.60161	-10.82727
-22.119741	-62.344006
11.537693	112.06234
8.925131	-27.180527
67.94315	-28.195326
-6.327487	100.65588
-8.963015	72.63929
29.621965	-44.020206
5.45371	3.0891373
35.115604	-38.93341
0.35115358	29.27914
90.94835	56.71586
-97.17262	11.852486
57.383816	-44.001484
102.81601	30.273836
-5.672078	110.871086
-98.40021	1.0718827
-64.49775	35.596684
83.86423	49.73532
40.136116	-107.876274
-43.881092	12.225068
-74.410545	-34.00542
86.024666	-34.347713
-9.294741	82.28334
-44.063248	11.012524
-59.128475	-0.8994135
33.11732	42.20225
90.52034	-31.438963
-26.26336	7.0810595
-85.49824	18.830616
8.574068	69.806114
-16.527704	-13.210207
-69.43071	54.688416
80.7515	-42.03593
-52.44853	41.2908
-16.87079	-64.62808
84.40186	8.949442
48.77484	5.886116
61.31721	-72.52161
-16.457125	-50.674004
-81.6321	48.75534
-4.9696407	18.572266
-52.3826	-81.61583
86.59675	-40.425133
-16.68045	51.42186
-71.20752	-76.15082
28.741297	-92.75482
38.314377	1.2779074
-44.78259	-47.562187
7.3511596	57.650578
-2.1291757	-6.1909246
101.08968	26.187729
-5.9766912	-14.025785
79.26189	16.573324
89.79263	-61.774345
58.123707	-66.69588
87.006454	-20.32013
-8.751026	51.59727
1.7011777	-16.170858
65.63189	20.17973
62.90102	-44.23645
-33.225494	-9.017626
-12.590947	7.12639
-36.639538	54.92682
79.78665	70.345
44.52556	103.631226
25.04339	52.880215
-37.314503	-17.45326
-72.807175	74.97378
-87.02026	60.399807
51.25927	-20.045174
38.346596	39.3677
-38.93456	-21.00452
94.66984	15.882508
61.124546	-38.797844
40.176605	-33.095154
56.31952	-8.658202
-11.693922	54.773567
15.109723	-85.867485
-64.28819	-86.90239
67.24987	40.916637
40.4835	93.383415
-29.215425	-38.452904
18.538828	10.085007
-43.533234	-82.863594
27.147722	-112.342735
1.9018164	103.30065
21.601633	55.859486
-84.97187	71.75316
92.07241	-10.75828
-63.937626	-59.31348
3.3909564	-52.769768
51.77705	-18.356634
-38.194977	-24.636898
-50.333817	22.434076
37.049534	-83.41908
-0.35564405	-88.97359
-2.542205	-77.24619
-23.676842	22.792715
-20.347359	-54.745125
15.598375	42.80019
-29.777876	12.250671
-66.69141	-32.959732
1.108508	5.086178
-5.2328014	70.626816
-95.65173	-61.436348
80.298615	-58.720493
-29.012596	-25.844988
-38.21166	8.083348
67.30742	-41.30447
-25.632435	51.344162
-34.36787	106.047035
42.82272	88.28565
0.7647374	33.432
-65.63829	-48.653072
-103.9967	-10.891726
51.3791	-51.071827
-0.4472821	-6.4116926
-37.360184	97.700676
-71.9951	-16.814245
29.347952	-2.385593
-62.759083	41.987095
-62.32077	30.21261
-13.627123	30.58456
54.23652	-102.03753
77.52536	-44.86357
-40.030205	60.2136
-17.250158	29.875593
13.263566	42.852337
45.405075	90.042496
-21.574156	87.080475
-2.9802473	-77.63434
9.273824	9.786042
4.8472137	46.524242
2.6033602	-10.323282
47.858234	64.45951
-36.161594	30.063143
84.76821	-18.106646
-27.392952	27.00621
-85.078415	-7.144715
27.133604	90.77931
12.997071	-77.428185
-57.99219	-38.008747
58.924908	-48.801697
20.314651	-21.384148
46.273994	21.236574
24.434738	-62.1961
35.867363	-82.76556
103.45563	-9.436468
44.96992	101.47686
-14.133602	98.39183
-12.639791	-69.93486
56.5049	6.591296
-5.681839	0.8182258
2.449444	-30.471613
-20.264093	5.379844
62.613228	-42.192154
-3.6454427	-0.2283981
-81.74527	2.6186976
-25.109283	41.876236
0.051451463	14.334089
8.007336	41.09134
-42.955067	74.91263
80.66077	80.99133
-60.991444	27.140104
12.717117	67.21206
11.799174	66.945045
95.54317	16.706388
30.022305	51.476555
17.124205	19.11764
105.893745	37.124233
44.066067	-88.934875
-81.95976	-11.336015
1.2538732	-113.973526
-60.684044	-22.157242
27.221804	-43.639755
-1.2969571	-49.545372
64.82658	82.8826
46.67698	-86.053276
-6.8532605	3.7041378
8.36095	25.827576
-61.84339	18.344719
-40.666763	77.40829
-21.758158	74.09005
-3.3466144	31.88403
-60.5512	-24.282888
-0.16733517	59.03286
-49.982677	15.497305
-40.645653	42.895203
47.640835	-1.6450329
19.608149	-65.483185
-15.990679	20.606453
-21.745897	-56.939243
28.099674	-2.3096557
-36.482765	-61.670547
-5.1622047	83.83752
-74.229324	-3.4256167
-25.107893	41.844402
-41.455917	0.8641542
-96.958046	11.824058
-76.48018	9.247535
-42.608963	-44.259945
-35.624043	-75.668144
43.545887	70.500374
94.03025	22.031458
44.21916	77.078896
81.345634	-63.331276
-1.9243184	8.119326
10.759543	-114.72144
-21.378538	42.010498
-8.383169	101.56249
21.26439	-11.405585
54.935783	12.890168
-90.25306	-37.29703
-50.60755	-67.22557
111.110886	-26.590357
-75.56127	-13.175727
14.014362	66.10855
-11.527051	12.429552
35.163574	-50.25782
-43.32054	-83.17318
-84.13935	30.025297
66.59252	-5.0042157
-101.25491	30.634039
20.599653	-54.975735
3.0693824	41.01262
-28.330984	80.0256
-8.0631075	84.749664
83.86176	49.73554
-23.39124	-14.593708
79.810936	16.331757
45.085938	-33.819088
68.47668	-79.98695
51.97996	-8.678688
-15.487798	80.161545
-7.447002	11.638132
37.1882	-41.464226
17.216312	-53.526108
-52.202515	96.60694
-60.432434	-5.4800467
68.58693	25.21038
15.01578	-56.575058
-13.53157	-75.66824
28.260864	76.48506
-97.44104	-21.131664
-20.157495	45.022625
43.5842	-44.1045
43.13382	11.421172
-16.691212	22.028341
59.675797	-8.970427
40.712788	-55.840015
-35.63937	54.573288
-41.53266	-2.6492422
8.8108225	26.25717
76.53265	41.109814
3.0529745	83.48422
-15.829473	-13.343162
50.81819	21.485113
-11.380915	-10.0196
-1.6918423	46.5175
62.75741	2.2502573
-23.52681	68.88587
77.91017	34.905037
-63.057343	-80.249504
21.84455	70.68094
95.56366	-11.3985
57.389874	42.381977
-49.48218	36.80452
102.4266	-26.080296
96.592514	-41.32652
43.512577	70.43144
25.098585	65.48989
6.6668706	-24.45193
54.311714	101.07369
46.791355	-86.74809
-24.460035	-37.690205
95.25152	16.812038
-12.39355	32.86956
92.26706	-41.3016
12.389964	26.464216
-96.22887	-3.4647658
51.82374	-95.83096
-5.7996106	0.6833242
64.98052	-92.288574
-24.052353	3.975138
-32.111526	-30.110453
59.949833	-63.466404
76.282974	39.851593
-0.53666955	-31.671053
-74.70264	-7.9969363
-14.433247	25.321978
2.364614	10.342098
69.61809	-10.934514
-29.530504	3.7905252
50.077763	73.5452
-71.49819	-76.57248
-23.929276	45.46275
-90.00869	13.419733
42.63548	-8.059595
75.96691	28.322897
-36.022366	0.75554323
16.771725	62.976543
-20.134686	4.89364
53.202744	-47.617493
-7.740628	-73.036674
81.67932	-57.248604
49.24428	-79.43297
-42.238983	-66.85911
-28.514841	-40.218857
29.072306	-20.275412
48.180347	-87.99693
75.763245	-62.750675
103.30696	46.654503
1.4783573	37.45702
-49.350754	38.410984
38.344585	-11.030518
14.609899	95.768486
34.120018	-87.82153
