Dimension_1	Dimension_2	Dimentions_3
26.278673	19.804302	22.567846
14.451367	9.148214	8.720421
-31.520414	-4.4483066	-9.611865
-8.680838	-35.47742	28.7364
10.035322	-7.6532187	37.3712
18.98742	-25.465479	-1.0231982
-48.588207	15.186517	3.4043207
14.436814	-31.500479	28.038721
11.504888	-22.461927	-12.226596
27.432718	32.588306	22.109451
1.5804924	-41.754074	-26.71874
-23.90574	8.698437	19.714676
-4.6941447	32.36011	-21.78775
15.154963	7.628098	-5.1566467
10.162553	17.158405	-22.147343
-8.370007	-10.610936	-1.4410526
-26.20649	3.5963748	25.17628
0.031790186	8.85773	-15.904261
1.0630671	-6.060583	-1.896856
2.1608727	-11.238496	11.749884
2.4867115	14.741307	-12.798199
-16.55977	26.752592	21.588482
-27.631145	-16.690214	9.271768
-9.476386	23.272022	0.054398406
-17.36139	-21.567831	-33.078487
10.510533	11.119572	-36.28493
-7.9939237	32.550266	-4.5661764
-10.541726	22.02548	10.100595
-10.109924	21.019224	8.888155
-38.092064	-14.991522	-9.379246
12.5612335	-23.442146	-41.23199
22.552809	-17.481758	-0.11514975
29.39523	-1.4397761	4.9759593
-7.8214946	-15.004517	23.036966
-3.3123434	19.549255	41.851513
-0.5782582	-7.097164	-13.367646
1.6786897	17.59681	-42.631813
-9.262887	34.91285	-12.296861
-27.259169	27.827887	0.9103069
18.894796	29.869284	-25.661087
32.9286	-3.4096992	16.516277
-12.337512	23.434227	30.582006
41.595833	-3.704799	0.5469769
23.479385	-0.3575442	-23.249855
-14.8779545	16.45675	9.688367
-8.347048	13.870282	-23.89922
17.464205	-1.517981	-23.0717
2.1441758	-51.633793	8.906298
-12.71896	9.657873	-1.7362976
-14.889746	-18.190014	-10.328868
21.495823	9.36761	24.36553
49.206844	-1.9264475	-11.021278
-16.441048	-15.275133	-2.033275
-3.0640242	-15.066091	-32.43469
-27.678745	-9.504543	-23.491707
32.645786	5.012203	28.36357
5.2681756	-25.500286	-20.540407
3.5695236	13.713974	1.2414224
-14.869045	2.3622174	13.130783
4.6651545	20.433638	19.037561
24.390388	19.72269	-19.467487
-21.656012	-23.424011	32.551685
-40.649025	18.630829	-10.617183
1.8268557	-26.983717	4.037684
14.952838	18.718655	10.741286
37.169308	-14.670129	9.066375
-3.3592231	34.86203	4.550002
-8.33627	5.27024	-16.162245
-24.987602	1.0354587	-35.48367
-5.867797	-3.1350632	15.061767
7.0701485	-10.8147955	17.32209
52.18007	-15.345622	-12.486019
-25.70043	5.32923	-6.555329
40.444157	2.793247	9.942147
-6.37806	21.627783	44.580242
-36.56043	-16.834305	-25.14482
-6.4973927	-27.456203	-22.901611
-18.90434	-29.346981	36.849533
15.852164	32.681953	-17.420967
4.0562644	8.30323	34.790462
2.5355563	20.472939	15.371293
23.86115	12.161339	5.818641
40.91524	-32.082577	-5.850389
-11.792529	-34.27812	8.215754
-21.375206	22.137905	-8.324044
-2.5987535	-23.95535	-7.7867775
12.592109	7.117186	47.074104
6.6033044	27.126402	25.831043
21.498524	12.693621	4.0266075
-4.0796366	-31.000605	-13.455711
-56.129513	7.54784	-3.0647297
-46.2667	8.622566	-7.8131495
19.965425	34.277824	12.981153
37.92695	32.690628	-4.356477
-34.726143	23.09666	8.288554
-9.873512	-17.439783	-31.72519
-8.929068	-34.529	-21.080912
12.848942	4.8264613	-17.775595
3.2407727	-32.892452	19.385342
45.65728	23.650724	4.03633
-22.828243	17.788218	24.534872
34.94406	-2.7865365	-7.6423783
3.1396112	-13.194076	40.1762
45.502686	5.64039	-7.166391
-41.83743	-7.5161276	10.584381
23.938707	37.144302	2.4723282
-4.7866426	-19.264935	-40.484028
-2.3315144	22.36598	6.2196236
-23.184061	-11.168222	-29.221807
2.1989062	16.39913	30.514439
-19.787407	-12.078872	24.8735
7.4006734	15.760485	-18.207445
7.8013496	-10.870198	31.088623
-8.736945	14.052725	-8.678706
-31.935743	13.458616	3.9726555
17.287071	20.324942	10.5325775
-15.567861	-6.2713833	38.730026
-15.701875	-27.992592	-19.34153
8.1798115	-43.981056	-18.336264
8.66207	-21.550724	-17.77092
0.54486173	52.57161	0.9589147
-47.951466	-2.3579714	14.753087
-8.861804	-22.40248	45.633404
15.081649	8.926637	-13.707597
8.274208	9.296864	-29.479042
-25.26352	3.8267858	14.619733
-8.052549	33.892994	-3.467371
-21.472069	8.977296	30.789131
18.195198	2.730396	-36.84601
-32.167946	-3.0541265	-28.480066
20.546125	1.663759	9.369887
30.847109	9.498518	23.48533
-48.181034	-10.805632	-1.1787176
15.99937	-18.45518	-22.620565
-3.1876483	-19.87672	12.318729
